pmid,title,abstract,authors,journal,pub_date,source,doi,pmc_link
40716504,The genotype/phenotype conundrum of inherited mitochondrial disorders: Insights from a survey of mtDNA mutations associated with Leigh syndrome in complex I.,,"Ahmadi ZA, Brandt U",Biochimica et biophysica acta. Molecular basis of disease,2025 Jul 25,PubMed,,
40718607,Evaluating Clinical Outcomes of Adjunct Rifaximin Therapy in Patients with Overt Hepatic Encephalopathy: A Prospective Randomized Study.,,"Alazazzi H, Algahiny AT, Sharif Z, Sil N, Zaidi YA, Mashori FR, Ali B, Jaffery AF, Abouelella OH, Sil U, Ullah M",Euroasian journal of hepato-gastroenterology,2025 Jan-Jun,PubMed,,
40717768,Deep Brain Stimulation in Leigh-Like Syndrome Due to DNM1 Pathogenic Variant.,,"Villa-Villegas L, Lira-Jaime LG, Farías-Moreno KC, González-Ruffino BD, Soto-Escageda A, Mercado-Pimentel R, Piña-Avilés CE, Zúñiga-Ramírez C","Tremor and other hyperkinetic movements (New York, N.Y.)",2025,PubMed,,
40714654,Hearing rehabilitation in SERAC1 related MEGD(H)EL syndrome - implications from a multi-center retrospective cohort study.,,"Roesch S, O'Sullivan A, Tschani S, Baghdasaryan A, Balasubramaniam S, Barić I, de Boer L, Grünert SC, Guzek A, Janssen M, Krumina Z, Koenig MK, Lewkowitz AM, Mochel F, Naldi AM, Plecko B, Öztürk K, O'Grady L, Riordan G, Rymen D, Sahai I, Santer R, Schiff M, Stettner GM, Tsiakas K, Uçar SK, Uzun ÖÜ, Weigel C, Witters P, Merkevicius K, Mayr JA, Wortmann SB, Iwanicka-Pronicka K",Molecular genetics and metabolism,2025 Jul 21,PubMed,,
40685935,Metabolic Effects of Succinate Dehydrogenase Loss in Cancer.,,"Chatoff A, Kantner DS, Snyder NW, Rink L",Journal of cellular physiology,2025 Jul,PubMed,,
40681182,NDUFV1 mutation presenting as isolated progressive optic neuropathy: a unique manifestation of mitochondrial complex I deficiency.,,"Mittal P, Karkhur S, Verma V, Singh P",BMJ case reports,2025 Jul 18,PubMed,,
40667359,Respiratory complex III(2) assembles complex I via toxic intermediate in mitochondrial disease.,,"Ayala-Hernandez MG, Torales AB, Tan HC, Montgomery CB, Padavannil A, Cortopassi G, Letts JA",bioRxiv : the preprint server for biology,2025 Jun 18,PubMed,,
40654690,Multiomic clocks to predict phenotypic age in mice.,,"Vera DL, Griffin PT, Leigh D, Kras J, Ramos E, Bishof I, Butler A, Chwalek K, Vogel DS, Kane AE, Sinclair DA",bioRxiv : the preprint server for biology,2025 May 6,PubMed,,
40652486,"Expanding the Clinical, Pathological, and Molecular Phenotypes of Tetratricopeptide 19 (TTC19) Gene Mutations: A Case Report from India.",,"Farsana MK, Arunachal G, Nandeesh BN, Kulanthaivelu K, Mahale RR, Padmanabha H, Mathuranath PS, Mailankody P",Neurology India,2025 Jan 1,PubMed,,
40639871,Craniometaphyseal dysplasia leading to hydrocephalus and Chiari I malformation.,,"Cui L, Kadam P, Campbell J, Kaliaperumal C",BMJ case reports,2025 Jul 10,PubMed,,
40639383,Metformin for patients with metastatic prostate cancer starting androgen deprivation therapy: a randomised phase 3 trial of the STAMPEDE platform protocol.,,"Gillessen S, Murphy L, James ND, Sachdeva A, El-Taji O, Abdel-Aty H, Adler AI, Amos C, Attard G, Varughese M, Gale J, Brown S, Srihari N, Birtle AJ, Brown M, Chan K, Chowdhury S, Cross W, Dearnaley DP, Din O, Dutey-Magni P, Gilbert DC, Gilson C, Gray S, Grist E, Hofmann U, Hudson AM, Jain Y, Jeyasangar G, Jones R, Kayani M, Langley RE, Malik Z, Mason MD, Matheson D, McAlpine C, Macnair A, Millman R, Murphy C, Padden-Modi M, Parikh O, Parker C, Rush H, Russell M, Srinivasan R, Sundar S, Tanguay JS, Turco F, Williams P, Sydes MR, Parmar MKB, Brown LC, Clarke NW, STAMPEDE investigators",The Lancet. Oncology,2025 Aug,PubMed,,
40636537,"Prevalence of HIV and HIV-Hepatitis B Co-Infection in Hepatocellular Carcinoma Patients in the Gambia, 2012-2019: A Prospective Cohort Study.",,"Bittaye SO, Kambi A, Tekanyi MAI, Tamba S, Bojang L, Sanneh L, Sisawo MM, Jatta A, Fatty G, Jeng A, Jallow MS, Leigh O, Njie R",Health science reports,2025 Jul,PubMed,,
40635371,Announcing the Biomedical Data Translator: Initial Public Release.,,"Fecho K, Glusman G, Baranzini SE, Bizon C, Brush M, Byrd W, Chung L, Crouse A, Deutsch E, Dumontier M, Foksinska A, Hadlock J, He K, Huang S, Hubal R, Hyde GM, Israni S, Kenmogne K, Koslicki D, Marcette JD, Mathe EA, Mesbah A, Moxon SAT, Mungall CJ, Osborne J, Pasfield C, Qin G, Ramsey SA, Reese J, Roach JC, Rose R, Soman K, Su AI, Ta C, Vaidya G, Weber R, Wei Q, Williams M, Wu C, Xu C, Yakaboski C, Biomedical Data Translator Consortium",Clinical and translational science,2025 Jul,PubMed,,
40632344,"Epigenetic agents, zebularine and valproic acid, inhibit the growth of the oral squamous cell carcinoma cell line HSC4 in vitro and in vivo.",,"Takahashi S, Yoshida K, Paudel D, Morikawa T, Uehara O, Harada F, Ariwansa D, Giri S, Sato J, Nagayasu H, Abiko Y",Discover oncology,2025 Jul 9,PubMed,,
40622404,A mass spectrometry-based assay for mouse IgG N-glycan screening in biofluids.,,"Stratton AE, Moussa H, Guo Y, Ellenburg JM, Atkinson C, Prentice BM",Analytical and bioanalytical chemistry,2025 Aug,PubMed,,
40618441,The xenobiotic detoxification pathway - glycine conjugation - is downregulated in a mouse model of Leigh syndrome.,,"Fouché BR, Lindeque Z, van der Westhuizen F, Venter M, van der Sluis R",Biochemical and biophysical research communications,2025 Sep 1,PubMed,,
40607235,Disruption of Lrpprc affects B cell development and proliferation in a mouse model of Leigh Syndrome French Canadian type.,,"Fois A, Deschênes S, Bourel C, Beauchamp C, Lombard-Vadnais F, Ruiz M, Charron G, Coderre L, LSFC Consortium, Rioux JD, Lesage S","Journal of rare diseases (Berlin, Germany)",2025,PubMed,,
40588136,AAV9-mediated gene therapy restores liver function in the MEGDHEL mouse model.,,"Wei T, Lin Y, Ouyang W, Lei Y, Yang X, Chen L, He X, Fang Q, Zheng X, Tong H, Tu B, Zeng J, Lyu J, Du M, Gui S",Biochimica et biophysica acta. Molecular cell research,2025 Oct,PubMed,,
40585469,Rare presentation of dandy-walker variant syndrome associated with leigh syndrome: a promising therapeutic approach for prognosis in children related in a case report.,,"Pires BF, Lopo GIS, Siqueira AR, Felisberto LR, Martini RS, Alves ABV, Silva ACR, Carvalho FXL, Aliseda AP, Martins MM, Salgado CK, da Silveira Junior SB, Jacob CGF",Oxford medical case reports,2025 Jun,PubMed,,
40568126,Gut sulfide metabolism modulates behavior and brain bioenergetics.,,"Kumar R, Sykes DJ, Band VI, Schaller ML, Patel R, Vitvitsky V, Sajjakulnukit P, Singhal R, Wong HKA, Hourigan SK, Ichinose F, Lyssiotis CA, Shah YM, Banerjee R",bioRxiv : the preprint server for biology,2025 Apr 10,PubMed,,
40541208,Diagnostic and prognostic value of α-synuclein seed amplification assay kinetic measures in Parkinson's disease: a longitudinal cohort study.,,"Orrú CD, Vaughan DP, Vijiaratnam N, Real R, Martinez-Carrasco A, Fumi R, Jensen MT, Hodgson M, Girges C, Gil-Martinez AL, Stafford EJ, Wu L, Lerche S, Wurster I, Groveman BR, Hughson AG, Ansorge O, Quaegebeur A, Allinson KSJ, Warner TT, Jaunmuktane Z, Misbahuddin A, Leigh PN, Ghosh BCP, Bhatia KP, Church A, Kobylecki C, Hu MTM, Rowe JB, Parchi P, Brockmann K, Foltynie T, Morris HR, Caughey B, Jabbari E",The Lancet. Neurology,2025 Jul,PubMed,,
40527525,Systematic mapping of registered interventional studies addressing the top 10 research priorities in Barrett's oesophagus and gastro-oesophageal reflux disease.,,"Gamakaranage C, Ratcliffe E, Britton J, Butler T, Keld R, Prasad N, Hamdy S, McLaughlin J, Ang Y",BMJ open gastroenterology,2025 Jun 16,PubMed,,
40526718,Gut sulfide metabolism modulates behavior and brain bioenergetics.,,"Kumar R, Sykes DJ, Band VI, Schaller ML, Patel R, Vitvitsky V, Sajjakulnukit P, Singhal R, Wong HKA, Hourigan SK, Ichinose F, Lyssiotis CA, Shah YM, Banerjee R",Proceedings of the National Academy of Sciences of the United States of America,2025 Jun 24,PubMed,,
40526422,In vitro determination of essential genes required by Streptococcus uberis to grow in a complex biological media relating to intramammary infection.,,"Blanchard AM, Leigh JA",Microbial genomics,2025 Jun,PubMed,,
40525907,Total hip arthroplasty in patient with hip fracture and congenital pubic diastasis.,,"Saravanan K, Malik-Tabassum K, Rajpura A, Gambhir AK",Annals of the Royal College of Surgeons of England,2025 Jun 17,PubMed,,
40517577,Low excretor glutaric acidemia type 1 with transient lesions in the basal ganglia.,,"Miyata Y, Murayama K, Okazaki Y, Zhang C, Abe M, Narita M",Brain & development,2025 Aug,PubMed,,
40513498,"Clinical, metabolic, and genetic characteristics of 42 children with mitochondrial short-chain enoyl-CoA hydratase 1 deficiency in China.",,"Liu Y, Shen D, Song T, Xu C, Duan X, Song M, Li T, Zou Y, Duan R, Liu Z, Zhao S, Fang F",Molecular genetics and metabolism,2025 Aug,PubMed,,
40499538,Bi-allelic mutations in FASTKD5 are associated with cytochrome c oxidase deficiency and early- to late-onset Leigh syndrome.,,"Antonicka H, Weraarpachai W, Szigety KM, Kopajtich R, Gibson JB, Van Hove JLK, Friederich MW, Lopriore P, Neuhofer C, Van Hove RA, Cole MA, Reisdorph R, Peterson JT, Dempsey KJ, Ganetzky RD, Mancuso M, Prokisch H, Shoubridge EA",American journal of human genetics,2025 Jul 3,PubMed,,
40498175,Hepatic bioenergetics and metabolism in mitochondrial disease: insights from the Ndufs4 KO mouse model.,,"Terburgh K, Sweeney N, Louw R",Metabolomics : Official journal of the Metabolomic Society,2025 Jun 11,PubMed,,
40496713,The ClinGen Syndromic Disorders Gene Curation Expert Panel: Assessing the clinical validity of 111 gene-disease relationships.,,"Broeren EC, Gitau VN, Byrne AB, Ajuyah P, Balzotti MB, Berg JS, Bluske K, Bowen BM, Brown MP, Buchanan A, Burns BT, Burns NJ, Chandrasekhar A, Chawla A, Chong JX, Chopra M, Clause AR, DiStefano MT, DiTroia S, Elnagheeb MA, Girod AN, Goel H, Golden-Grant KL, Ha T, Hamosh A, Huang JM, Hughes MY, Jamuar SS, Kam S, Kesari A, Koh AL, Lassiter RNT, Leigh SE, Lemire G, Lim JY, Malhotra A, McCurry HR, Milewski B, Moosa S, Murray SA, Owens EH, Palmer EE, Palus BC, Patel MJ, Rajkumar R, Ratliff JC, Raymond FL, Della Ripa Rodrigues Assis B, Sajan SA, Schlachetzki Z, Schmidt SA, Stark Z, Strom SP, Taylor JP, Thaxton C, Thrush DL, Toro S, Tshering KC, Vasilevsky NA, Wayburn B, Webb RF, O'Donnell-Luria A, Coffey AJ",Genetics in medicine open,2025,PubMed,,
40493653,Disruption of adaptive immunity does not attenuate disease in the Ndufs4(-/-) model of Leigh syndrome.,,"Hanaford AR, Khanna A, Truong V, James K, Liao R, Chen Y, Mulholland M, Kayser EB, Watanabe K, Hsieh ES, Morgan PG, Sarkar S, Kalia V, Johnson SC",PloS one,2025,PubMed,,
40485628,Brain Networks Route Neurodegeneration Patterns in Patients with Progressive Supranuclear Palsy.,,"Palleis C, Quattrone A, Dehsarvi A, Roemer-Cassiano SN, Bernhardt AM, AL‐108‐231 Investigators, the PASSPORT Study Group, Huppertz HJ, Malpetti M, Boxer AL, Gnörich J, Frontzkowski L, Levin J, Brendel M, Höglinger GU, Franzmeier N",Movement disorders : official journal of the Movement Disorder Society,2025 Jun 9,PubMed,,
40482888,"A comparative study of malnutrition screening tools in advanced liver disease: Sensitivity, specificity, and patient acceptability.",,"Ludlow S, McKeown E, Squires K, Pullen S, Barnes P, Gibberd A, Leigh L, Attia J, Wynne K",Clinical nutrition ESPEN,2025 Aug,PubMed,,
40469904,Autosomal dominant HK1-related neurodevelopmental disorder with visual defects and brain anomalies (NEDVIBA): An emerging mitochondrial disorder.,,"Ng BG, Eklund EA, Rosenfeld JA, Elias AF, Abu-El-Haija A, Bris C, Barth M, Chae JH, Choi M, Dubbs HA, Fratter C, Foulds N, Gamble C, Gavrilova RH, Haven J, Hoffman TL, Hunter JV, Larson A, Lotze TE, Magoulas P, Magness EC, Bootin DM, Marsh ED, Nesbitt V, Pastore MT, Poulton J, Rahman S, Scaglia F, Murali C, Posey J, Rotenberg J, Schmalz B, Shinde DN, Powis Z, Sukenik-Halevy R, Truxal KV, Uster T, Machado Bressan Wilke MV, Klee E, Woo H, Younkin D, Zhao J, Granadillo J, Lalani S, Chitayat D, Chung WK, Freeze HH, Okur V",Genetics in medicine open,2025,PubMed,,
40467953,Ndufs4(-/-) mice: a testing ground for longevity interventions.,,"Nuss J, Kaeberlein M, Bitto A, Grillo AS",GeroScience,2025 Jun 5,PubMed,,
40462991,Impaired Complex I dysregulates neural/glial precursors and corpus callosum development revealing postnatal defects in Leigh Syndrome mice.,,"Biswas SR, Tomsick PL, Kelly C, Lester BA, Milner JP, Henry SN, Soto Y, Brindley S, DeFoor N, Morton PD, Pickrell AM",bioRxiv : the preprint server for biology,2025 May 16,PubMed,,
40461781,A mitochondrial disease model is generated and corrected using engineered base editors in rat zygotes.,,"Chen L, Luan C, Hong M, Yuan M, Huang H, Gao D, Guo X, Chen Z, Li Y, Yang L, Yi Z, Wei W, Liu M, Gao L, Han H, Li D",Nature biotechnology,2025 Jun 3,PubMed,,
40454350,Unexplained Multi-Site Thrombosis: A Step-by-Step Strategy for Factor V Leiden Detection in a Hypercoagulable Patient.,,"Shahabi Raberi V, Kahourian O, Faramarzzadeh R, Parizad R, McConnell O, Rostamzadeh A",The journal of Tehran Heart Center,2024 Oct,PubMed,,
40452409,Evaluating the feasibility of gene replacement strategies to treat MTRFR deficiency.,,"Pratt SL, Zarate-Mendez M, Koludarova L, Jansson S, Airavaara M, Hlushchuk I, Coleman D, Heffner C, Horvath R, Battersby BJ, Burgess RW",Disease models & mechanisms,2025 May 1,PubMed,,
40446940,Deficiency in the conserved ECHS1 gene causes Leigh syndrome by impairing mitochondrial respiration efficiency and suppressing ADRB2-PKA signaling.,,"Wang B, Qin Y, Bao Y, Chen S, Zheng J, Lin S, Zheng K, Duan S",Biochimica et biophysica acta. Molecular basis of disease,2025 Oct,PubMed,,
40439182,Clinical Phenotype and Neuroimaging Findings in Siblings with COX15 Deficiency: Case Report and Review of Previously Reported Cases.,,"AlFaris HS, Yoganathan S, Callister MN, Aljouda L, Pai V, Krishnan P, LeBlanc-Millar A, Ganos C, Gorodetsky C",Movement disorders clinical practice,2025 May 29,PubMed,,
40429710,Exploring the Phenotypic Heterogeneity and Bioenergetic Profile of the m.13513G>A mtDNA Substitution: A Heteroplasmy Perspective.,,"Krylova T, Itkis Y, Tsygankova P, Chistol D, Lyamzaev K, Tabakov V, Mikhaylova S, Nikitina N, Rudenskaya G, Murtazina A, Markova T, Semenova N, Buchinskaya N, Saifullina E, Aksyanova H, Sparber P, Andreeva N, Venediktova N, Ivanushkina A, Eliseeva D, Murakhovskaya Y, Sheremet N, Zakharova E",International journal of molecular sciences,2025 May 10,PubMed,,
40367733,Reprogramming of two induced pluripotent stem cell clones from a patient with a novel MT-ATP6/8 mutation (m.8570 T > C).,,"Haschke AM, Diecke S, Stachelscheid H, Schuelke M",Stem cell research,2025 Aug,PubMed,,
40365324,Atypical MEGDHEL Syndrome: A Milder Phenotype With Hepatic Presentation and Failure to Thrive Associated With a Homozygous Nonsense Variant of SERAC1.,,"Marchante Pita R, Amaral R, Vilarinho L, Diogo L, Gonçalves I, Nobre S",JIMD reports,2025 May,PubMed,,
40364942,Safe use of sugammadex and 5% dextrose in 0.45% saline in Leigh syndrome.,,"Okafor CV, Tumin D, Cai SR, Hutton AL",Indian journal of anaesthesia,2025 May,PubMed,,
40358162,Complex Metabolomic Changes in a Combined Defect of Glycosylation and Oxidative Phosphorylation in a Patient with Pathogenic Variants in PGM1 and NDUFA13.,,"Radenkovic S, Adant I, Bird MJ, Swinnen JV, Cassiman D, Kozicz T, Gruenert SC, Ghesquière B, Morava E",Cells,2025 Apr 25,PubMed,,
40354799,"Efficacy and safety of low-dose IL-2 as an add-on therapy to riluzole (MIROCALS): a phase 2b, double-blind, randomised, placebo-controlled trial.",,"Bensimon G, Leigh PN, Tree T, Malaspina A, Payan CA, Pham HP, Klaassen P, Shaw PJ, Al Khleifat A, Amador MDM, Attarian S, Bell SM, Beltran S, Bernard E, Camu W, Corcia P, Corvol JC, Couratier P, Danel V, Debs R, Desnuelle C, Dimitriou A, Ealing J, Esselin F, Fleury MC, Gorrie GH, Grapperon AM, Hesters A, Juntas-Morales R, Kolev I, Lautrette G, Le Forestier N, McDermott CJ, Pageot N, Salachas F, Sharma N, Soriani MH, Sreedharan J, Svahn J, Verber N, Verschueren A, Yildiz O, Suehs CM, Saker-Delye S, Muller C, Masseguin C, Hajduchova H, Kirby J, Garlanda C, Locati M, Zetterberg H, Asselain B, Al-Chalabi A, MIROCALS Study Group","Lancet (London, England)",2025 May 24,PubMed,,
40349566,Machine learning classification of quorum sensing-induced bacterial aggregation using flow rate assays on paper chips toward bacterial species identification in potable water sources.,,"Choi SJ, Lee MH, Liang Y, Lin EC, Khanthaphixay B, Leigh PJ, Hwang DS, Yoon JY",Biosensors & bioelectronics,2025 Sep 15,PubMed,,
40344499,Case Report: Unusual Neurological Features of Leigh Syndrome due to m.8993T>G Pathogenic Variant in the MT-ATP6 Gene.,,"Treitel R, McLaughlin J, Frigeni M",American journal of medical genetics. Part A,2025 Sep,PubMed,,
40344341,The Association of Neonatal Respiratory Distress With Ciliary Ultrastructure and Genotype in Primary Ciliary Dyskinesia.,,"Barber AT, Davis SD, Ferkol TW, Shapiro AJ, Atkinson J, Sagel SD, Dell SD, Olivier K, Milla C, Rosenfeld M, Li L, Lin FC, Sullivan KM, Capps NA, Zariwala MA, Knowles MR, Leigh MW, Genetic Disorders of Mucociliary Clearance Consortium (GDMCC)",Pediatric pulmonology,2025 May,PubMed,,
40343865,The Acrolein - Lipopolysaccharide Mouse Model for Frequent Exacerbations in COPD.,,"Reiter BF, Bordag N, Schnoegl D, Delbeck M, Madl T, Habisch H, Kwapiszewska G, Meding J, Marsh LM",American journal of respiratory cell and molecular biology,2025 May 9,PubMed,,
40335470,Characterising acute and chronic care needs: insights from the Global Burden of Disease Study 2019.,,GBD 2019 Acute and Chronic Care Collaborators,Nature communications,2025 May 7,PubMed,,
40317698,Compound Heterozygous MRPS14 Variants Associated With Leigh Syndrome.,,"Otero MG, Freeman C, Shah R, Bai R, Cui H, Castro M, Myers Z, Choy E, Chan D, Easter M, Zhao SY, Babros M, Garg R, Deardorff M, Moser F, Pierson TM",Annals of clinical and translational neurology,2025 May 2,PubMed,,
40308025,Fatal Acute Necrotizing Encephalopathy in a 17-Year-Old Girl with COVID-19: A Case Report.,,"Zhu J, Li Y, Liu J, Zhou C, Liu X, Ding Y",The American journal of case reports,2025 May 1,PubMed,,
26425749,Nuclear Gene-Encoded Leigh Syndrome Spectrum Overview.,,"Adam MP, Feldman J, Mirzaa GM, Pagon RA, Wallace SE, Amemiya A, Rahman S, Thorburn DR, Ball M",,1993,PubMed,,
40302207,Pleiotropic effects of MORC2 derive from its epigenetic signature.,,"Peymani F, Ebihara T, Smirnov D, Kopajtich R, Ando M, Bertini E, Carrozzo R, Diodato D, Distelmaier F, Fang F, Ghezzi D, Hempel M, Iwanicka-Pronicka K, Klopstock T, Stenton SL, Lamperti C, Liu Z, Murtazina A, Okamoto Y, Okazaki Y, Piekutowska-Abramczuk D, Rötig A, Ryzhkova O, Schlein C, Shagina O, Takashima H, Tsygankova PG, Zech M, Meitinger T, Shimura M, Murayama K, Prokisch H",Brain : a journal of neurology,2025 Apr 30,PubMed,,
40288592,The therapeutic potential of a polyunsaturated fatty acid-enriched high-fat diet in Leigh syndrome: Insights from a preclinical model.,,"Willemse L, Terburgh K, Louw R",Biochimica et biophysica acta. Molecular basis of disease,2025 Aug,PubMed,,
40239028,NDUFS8-Related Leigh Syndrome Mimicking a Leukodystrophy.,,"Hogue B, Garcia MR, Steigerwald CG, Borja MJ, Abreu NJ",Journal of child neurology,2025 Jul,PubMed,,
